コード,銘柄名
1622,ＮＥＸＴ　自動車・輸送機
1623,ＮＥＸＴ　鉄鋼・非鉄鉄鋼・非鉄
1624,ＮＥＸＴ　機械
1625,ＮＥＸＴ　電機・精密
1626,ＮＥＸＴ　情通サ他
1627,ＮＥＸＴ　電力・ガス電力・ガス
1628,ＮＥＸＴ　運輸・物流
1629,ＮＥＸＴ　商社・卸売
1630,ＮＥＸＴ　小売
1631,ＮＥＸＴ　銀行
1632,ＮＥＸＴ　金融
1633,ＮＥＸＴ　不動産
1634,ダイワ食品　上場投信ＴＯＰＩＸ－１７
1635,#ERROR!
1636,#ERROR!
1637,#ERROR!
1638,ダイワ医薬品上場投信・ＴＯＰＩＸ－１７
1639,#ERROR!
1640,#ERROR!
1641,ダイワ機械上場投信・ＴＯＰＩＸ－１７
1642,#ERROR!
1643,#ERROR!
1644,#ERROR!
1645,#ERROR!
1646,#ERROR!
1647,ダイワ小売上場投信・ＴＯＰＩＸ－１７
1648,ダイワ銀行上場投信・ＴＯＰＩＸ－１７
1649,ダイワ金融上場投信・ＴＯＰＩＸ－１７
1650,ダイワ不動産上場投信・ＴＯＰＩＸ－１７
1651,ダイワ上場投信－ＴＯＰＩＸ高配当４０指数
1652,#ERROR!
1653,ダイワ上場投信－ＭＳＣＩジャパンＥＳＧ
1654,#ERROR!
1655,#ERROR!
1656,#ERROR!
1657,#ERROR!
1658,#ERROR!
1659,ｉシェアーズ米国リート　ＥＴＦ
1660,ＭＡＸＩＳ高利回りＪリート上場投信
1661,関東天然瓦斯開発
1662,石油資源開発
1663,Ｋ＆Ｏエナジーグループ
1664,#ERROR!
1665,#ERROR!
1666,#ERROR!
1667,#ERROR!
1668,#ERROR!
1669,#ERROR!
1670,ＭＡＸＩＳＳ＆Ｐ三菱系企業群上場投信
1671,ＷＴＩ原油価格連動型上場投信
1672,ＥＴＦＳ　金上場投資信託
1673,ＥＴＦＳ　銀上場投資信託
1674,ＥＴＦＳ　白金上場投資信託
1675,ＥＴＦＳ　パラジウム上場投資信託
1676,ＥＴＦＳ　貴金属バスケット上場投資信託
1677,#ERROR!
1678,ＮＥＸＴ　インド株式
1679,#ERROR!
1680,上場インデックスファンド海外先進国株式
1681,上場インデックスファンド海外新興国株式
1682,ＮＥＸＴ日経・東商取白金指数連動
1683,Ｏｎｅ　ＥＴＦ　国内金先物
1684,ＥＴＦＳ　総合上場投資信託
1685,ＥＴＦＳ　エネルギー上場投資信託
1686,ＥＴＦＳ　産業用金属上場投資信託
1687,ＥＴＦＳ　農産物上場投資信託
1688,ＥＴＦＳ　穀物商品指数上場投資信託
1689,ＥＴＦＳ　天然ガス上場投資信託
1690,ＥＴＦＳ　ＷＴＩ原油上場投資信託
1691,ＥＴＦＳ　ガソリン上場投資信託
1692,ＥＴＦＳ　アルミニウム上場投資信託
1693,ＥＴＦＳ　銅上場投資信託
1694,ＥＴＦＳ　ニッケル上場投資信託
1695,ＥＴＦＳ　小麦上場投資信託
1696,ＥＴＦＳ　とうもろこし上場投資信託
1697,ＥＴＦＳ　大豆上場投資信託
1698,上場日本高配当
1699,#ERROR!
1700,#ERROR!
1701,昭和ＫＤＥ
1702,共立マテリアル
1703,#ERROR!
1704,#ERROR!
1705,#ERROR!
1706,#ERROR!
1707,#ERROR!
1708,#ERROR!
1709,#ERROR!
1710,#ERROR!
1711,省電舎ホールディングス
1712,ダイセキ環境ソリューション
1713,#ERROR!
1714,#ERROR!
1715,#ERROR!
1716,第一カッター興業
1717,明豊ファシリティワークス
1718,美樹工業
1719,安藤・間
1720,東急建設
1721,コムシスホールディングス
1722,ミサワホーム
1723,日本電技
1724,シンクレイヤ
1725,#ERROR!
1726,ビーアールホールディングス
1727,#ERROR!
1728,ミサワホーム中国
1729,三光ソフランホールディングス
1730,麻生フオームクリート
1731,#ERROR!
1732,#ERROR!
1733,#ERROR!
1734,北弘電社
1735,#ERROR!
1736,オーテック
1737,三井金属エンジニアリング
1738,ＮＩＴＴＯＨ
1739,シード平和
1740,#ERROR!
1741,#ERROR!
1742,セコムテクノサービス
1743,コーアツ工業
1744,#ERROR!
1745,#ERROR!
1746,#ERROR!
1747,#ERROR!
1748,#ERROR!
1749,#ERROR!
1750,#ERROR!
1751,日立プラント建設サービス
1752,#ERROR!
1753,#ERROR!
1754,#ERROR!
1755,#ERROR!
1756,和興エンジニアリング
1757,クレアホールディングス
1758,太洋基礎工業
1759,#ERROR!
1760,#ERROR!
1761,ミサワホーム北海道
1762,高松コンストラクショングループ
1763,#ERROR!
1764,工藤建設
1765,#ERROR!
1766,東建コーポレーション
1767,沖ウィンテック
1768,ソネック
1769,#ERROR!
1770,藤田エンジニアリング
1771,日本乾溜工業
1772,#ERROR!
1773,ＹＴＬ
1774,#ERROR!
1775,富士古河Ｅ＆Ｃ
1776,三井住建道路
1777,川崎設備工業
1778,#ERROR!
1779,#ERROR!
1780,ヤマウラ
1781,#ERROR!
1782,常磐開発
1783,アジアゲートホールディングス
1784,#ERROR!
1785,#ERROR!
1786,#ERROR!
1787,ナカボーテック
1788,三東工業社
1789,ＥＴＳホールディングス
1790,#ERROR!
1791,#ERROR!
1792,#ERROR!
1793,大本組
1794,#ERROR!
1795,マサル
1796,#ERROR!
1797,#ERROR!
1798,守谷商会
1799,第一建設工業
1800,#ERROR!
1801,大成建設
1802,大林組
1803,清水建設
1804,#ERROR!
1805,飛島建設
1806,#ERROR!
1807,佐藤渡辺
1808,長谷工コーポレーション
1809,#ERROR!
1810,松井建設
1811,錢高組
1812,鹿島
1813,不動テトラ
1814,大末建設
1815,鉄建
1816,安藤建設
1817,#ERROR!
1818,#ERROR!
1819,日鉄住金テックスエンジ
1820,西松建設
1821,三井住友建設
1822,大豊建設
1823,#ERROR!
1824,前田建設工業
1825,#ERROR!
1826,佐田建設
1827,ナカノフドー建設
1828,田辺工業
1829,#ERROR!
1830,#ERROR!
1831,#ERROR!
1832,北海電気工事
1833,奥村組
1834,大和小田急建設
1835,東鉄工業
1836,#ERROR!
1837,#ERROR!
1838,#ERROR!
1839,#ERROR!
1840,土屋ホールディングス
1841,サンユー建設
1842,#ERROR!
1843,#ERROR!
1844,大盛工業
1845,#ERROR!
1846,鈴縫工業
1847,イチケン
1848,富士ピー・エス
1849,#ERROR!
1850,南海辰村建設
1851,#ERROR!
1852,淺沼組
1853,森組
1854,#ERROR!
1855,#ERROR!
1856,#ERROR!
1857,#ERROR!
1858,#ERROR!
1859,#ERROR!
1860,戸田建設
1861,熊谷組
1862,#ERROR!
1863,#ERROR!
1864,#ERROR!
1865,青木あすなろ建設
1866,北野建設
1867,植木組
1868,三井ホーム
1869,名工建設
1870,矢作建設工業
1871,ピーエス三菱
1872,#ERROR!
1873,日本ハウスホールディングス
1874,#ERROR!
1875,青木マリーン
1876,#ERROR!
1877,#ERROR!
1878,大東建託
1879,新日本建設
1880,#ERROR!
1881,ＮＩＰＰＯ
1882,東亜道路工業
1883,前田道路
1884,日本道路
1885,東亜建設工業
1886,#ERROR!
1887,#ERROR!
1888,若築建設
1889,#ERROR!
1890,東洋建設
1891,#ERROR!
1892,徳倉建設
1893,五洋建設
1894,#ERROR!
1895,#ERROR!
1896,大林道路
1897,金下建設
1898,世紀東急工業
1899,福田組
1900,#ERROR!
1901,#ERROR!
1902,#ERROR!
1903,#ERROR!
1904,大成温調
1905,テノックス
1906,細田工務店
1907,東北ミサワホーム
1908,#ERROR!
1909,日本ドライケミカル
1910,#ERROR!
1911,住友林業
1912,#ERROR!
1913,#ERROR!
1914,日本基礎技術
1915,#ERROR!
1916,日成ビルド工業
1917,#ERROR!
1918,#ERROR!
1919,ヤマダ・エスバイエルホーム
1920,#ERROR!
1921,巴コーポレーション
1922,#ERROR!
1923,#ERROR!
1924,パナホーム
1925,大和ハウス工業
1926,ライト工業
1927,#ERROR!
1928,積水ハウス
1929,日特建設
1930,北陸電気工事
1931,日本電通
1932,コミューチュア
1933,ＳＹＳＫＥＮ
1934,ユアテック
1935,ＴＴＫ
1936,シーキューブ
1937,西部電気工業
1938,日本リーテック
1939,四電工
1940,つうけん
1941,中電工
1942,関電工
1943,大明
1944,きんでん
1945,東京エネシス
1946,トーエネック
1947,#ERROR!
1948,弘電社
1949,住友電設
1950,日本電設工業
1951,協和エクシオ
1952,新日本空調
1953,#ERROR!
1954,日本工営
1955,東電通
1956,ＮＤＳ
1957,#ERROR!
1958,#ERROR!
1959,九電工
1960,サンテック
1961,三機工業
1962,#ERROR!
1963,日揮
1964,中外炉工業
1965,テクノ菱和
1966,高田工業所
1967,ヤマト
1968,太平電業
1969,高砂熱学工業
1970,日立プラントテクノロジー
1971,中央ビルト工業
1972,三晃金属工業
1973,ＮＥＣネッツエスアイ
1974,#ERROR!
1975,朝日工業社
1976,明星工業
1977,#ERROR!
1978,アタカ大機
1979,大氣社
1980,ダイダン
1981,協和日成
1982,日比谷総合設備
1983,東芝プラントシステム
1984,三信建設工業
1985,#ERROR!
1986,#ERROR!
1987,ソルコム
1988,#ERROR!
1989,北陸電話工事
1990,#ERROR!
1991,#ERROR!
1992,神田通信機
1993,#ERROR!
1994,高橋カーテンウォール工業
1995,ＡＳ－ＳＺＫｉ
1996,#ERROR!
1997,暁飯島工業
1998,#ERROR!
1999,サイタホールディングス
2000,#ERROR!
2001,日本製粉
2002,日清製粉グループ本社
2003,日東富士製粉
2004,昭和産業
2005,#ERROR!
2006,東福製粉
2007,#ERROR!
2008,増田製粉所
2009,鳥越製粉
2010,#ERROR!
2011,#ERROR!
2012,#ERROR!
2013,#ERROR!
2014,#ERROR!
2015,#ERROR!
2016,#ERROR!
2017,#ERROR!
2018,#ERROR!
2019,#ERROR!
2020,#ERROR!
2021,ｉＰａｔｈ 商品指数連動受益証券発行信託
2022,#ERROR!
2023,#ERROR!
2024,#ERROR!
2025,#ERROR!
2026,ｉＰａｔｈ　穀物指数連動受益証券発行信託
2027,#ERROR!
2028,#ERROR!
2029,#ERROR!
2030,#ERROR!
2031,ＮＥＸＴ　香港ハンセンダブル・ブル
2032,ＮＥＸＴ　香港ハンセン・ベア
2033,ＮＥＸＴ　韓国ＫＯＳＰＩダブル・ブル
2034,ＮＥＸＴ韓国ＫＯＳＰＩ・ベア
2035,ＮＥＸＴ　日経平均ＶＩ先物
2036,ＮＥＸＴ　金ブル
2037,ＮＥＸＴ　金ベア
2038,ＮＥＸＴ　原油ブル
2039,ＮＥＸＴ　原油ベア
2040,#ERROR!
2041,#ERROR!
2042,ＮＥＸＴ　東証マザーズＥＴＮ
2043,ＮＥＸＴ　アセアン好配当ＥＴＮ
2044,ＮＥＸＴ　配当貴族
2045,ＮＥＸＴ　シンガポール
2046,ＮＥＸＴ　インドブル
2047,ＮＥＸＴ　インドベア
2048,ＮＥＸＴ　野村日本株高配当
2049,#ERROR!
2050,#ERROR!
2051,日本農産工業
2052,協同飼料
2053,中部飼料
2054,#ERROR!
2055,日和産業
2056,日本配合飼料
2057,#ERROR!
2058,ヒガシマル
2059,ユニ・チャーム　ペットケア
2060,フィード・ワン
2061,#ERROR!
2062,#ERROR!
2063,#ERROR!
2064,#ERROR!
2065,ＮＥＸＴ　ＮＯＴＥＳ日本株配当貴族
2066,ＮＥＸＴ　ＮＯＴＥＳ東証ＲＥＩＴ
2067,ＮＥＸＴ　ＮＯＴＥＳ野村ＡＩビジネス７０
2068,ＮＥＸＴ　ＮＯＴＥＳ高ベータ３０
2069,ＮＥＸＴ　ＮＯＴＥＳ低ベータ５０
2070,#ERROR!
2071,#ERROR!
2072,#ERROR!
2073,#ERROR!
2074,#ERROR!
2075,#ERROR!
2076,#ERROR!
2077,#ERROR!
2078,#ERROR!
2079,#ERROR!
2080,#ERROR!
2081,#ERROR!
2082,#ERROR!
2083,#ERROR!
2084,#ERROR!
2085,#ERROR!
2086,#ERROR!
2087,#ERROR!
2088,#ERROR!
2089,#ERROR!
2090,#ERROR!
2091,#ERROR!
2092,#ERROR!
2093,#ERROR!
2094,#ERROR!
2095,#ERROR!
2096,#ERROR!
2097,#ERROR!
2098,#ERROR!
2099,#ERROR!
2100,#ERROR!
2101,#ERROR!
2102,#ERROR!
2103,#ERROR!
2104,#ERROR!
2105,#ERROR!
2106,#ERROR!
2107,東洋精糖
2108,日本甜菜製糖
2109,三井製糖
2110,#ERROR!
2111,#ERROR!
2112,塩水港精糖
2113,#ERROR!
2114,フジ日本精糖
2115,#ERROR!
2116,日新製糖
2117,日新製糖
2118,#ERROR!
2119,#ERROR!
2120,ＬＩＦＵＬＬ
2121,ミクシィ
2122,インタースペース
2123,応用医学研究所
2124,ジェイエイシーリクルートメント
2125,#ERROR!
2126,#ERROR!
2127,日本Ｍ＆Ａセンター
2128,ノバレーゼ
2129,#ERROR!
2130,メンバーズ
2131,アコーディア・ゴルフ
2132,アイレップ
2133,ＧＡＢＡ
2134,燦キャピタルマネージメント
2135,ＶＳＮ
2136,ヒップ
2137,光ハイツ・ヴェラス
2138,クルーズ
2139,中広
2140,クラウドゲート
2141,#ERROR!
2142,#ERROR!
2143,秀文社
2144,やまねメディカル
2145,データリンクス
2146,ＵＴグループ
2147,フジスタッフホールディングス
2148,アイティメディア
2149,#ERROR!
2150,ケアネット
2151,タケエイ
2152,幼児活動研究会
2153,Ｅ・Ｊホールディングス
2154,トラスト・テック
2155,カービュー
2156,セーラー広告
2157,コシダカホールディングス
2158,ＦＲＯＮＴＥＯ
2159,フルスピード
2160,ジーエヌアイグループ
2161,#ERROR!
2162,ｎｍｓ　ホールディングス
2163,アルトナー
2164,地域新聞社
2165,メガロス
2166,ＭＩＣメディカル
2167,ウェブマネー
2168,パソナグループ
2169,ＣＤＳ
2170,リンクアンドモチベーション
2171,#ERROR!
2172,インサイト
2173,博展
2174,ＧＣＡ
2175,エス・エム・エス
2176,イナリサーチ
2177,ベンチャーリパブリック
2178,トライステージ
2179,成学社
2180,サニーサイドアップ
2181,パーソルホールディングス
2182,メディサイエンスプラニング
2183,リニカル
2184,#ERROR!
2185,シイエム・シイ
2186,ソーバル
2187,#ERROR!
2188,#ERROR!
2189,#ERROR!
2190,ＪＣＬバイオアッセイ
2191,テラ
2192,#ERROR!
2193,クックパッド
2194,#ERROR!
2195,アミタホールディングス
2196,エスクリ
2197,#ERROR!
2198,アイ・ケイ・ケイ
2199,#ERROR!
2200,#ERROR!
2201,森永製菓
2202,#ERROR!
2203,#ERROR!
2204,中村屋
2205,#ERROR!
2206,江崎グリコ
2207,名糖産業
2208,ブルボン
2209,井村屋グループ
2210,#ERROR!
2211,不二家
2212,山崎製パン
2213,#ERROR!
2214,#ERROR!
2215,第一屋製パン
2216,カンロ
2217,モロゾフ
2218,日糧製パン
2219,#ERROR!
2220,亀田製菓
2221,岩塚製菓
2222,寿スピリッツ
2223,#ERROR!
2224,コモ
2225,#ERROR!
2226,湖池屋
2227,三星食品
2228,シベール
2229,カルビー
2230,五洋食品産業
2231,#ERROR!
2232,#ERROR!
2233,#ERROR!
2234,#ERROR!
2235,#ERROR!
2236,#ERROR!
2237,#ERROR!
2238,#ERROR!
2239,#ERROR!
2240,#ERROR!
2241,#ERROR!
2242,#ERROR!
2243,#ERROR!
2244,#ERROR!
2245,#ERROR!
2246,#ERROR!
2247,#ERROR!
2248,#ERROR!
2249,#ERROR!
2250,#ERROR!
2251,#ERROR!
2252,#ERROR!
2253,#ERROR!
2254,#ERROR!
2255,#ERROR!
2256,#ERROR!
2257,#ERROR!
2258,#ERROR!
2259,#ERROR!
2260,#ERROR!
2261,#ERROR!
2262,#ERROR!
2263,#ERROR!
2264,森永乳業
2265,#ERROR!
2266,六甲バター
2267,ヤクルト本社
2268,Ｂ－Ｒ　サーティワンアイスクリーム
2269,明治ホールディングス
2270,雪印メグミルク
2271,#ERROR!
2272,#ERROR!
2273,#ERROR!
2274,#ERROR!
2275,#ERROR!
2276,#ERROR!
2277,#ERROR!
2278,#ERROR!
2279,#ERROR!
2280,#ERROR!
2281,プリマハム
2282,日本ハム
2283,#ERROR!
2284,伊藤ハム
2285,#ERROR!
2286,林兼産業
2287,#ERROR!
2288,丸大食品
2289,#ERROR!
2290,米久
2291,福留ハム
2292,Ｓ　Ｆｏｏｄｓ
2293,滝沢ハム
2294,柿安本店
2295,#ERROR!
2296,伊藤ハム米久ホールディングス
2297,#ERROR!
2298,#ERROR!
2299,#ERROR!
2300,きょくとう
2301,学情
2302,#ERROR!
2303,ドーン
2304,ＣＳＳホールディングス
2305,スタジオアリス
2306,ビック東海
2307,クロスキャット
2308,#ERROR!
2309,シミックホールディングス
2310,#ERROR!
2311,エプコ
2312,#ERROR!
2313,#ERROR!
2314,レントラックジャパン
2315,カイカ
2316,モスインスティテュート
2317,システナ
2318,クレスト・インベストメンツ
2319,#ERROR!
2320,#ERROR!
2321,ソフトフロントホールディングス
2322,ＮＥＣフィールディング
2323,ｆｏｎｆｕｎ
2324,#ERROR!
2325,ＮＪＳ
2326,デジタルアーツ
2327,新日鉄住金ソリューションズ
2328,#ERROR!
2329,東北新社
2330,フォーサイド
2331,綜合警備保障
2332,クエスト
2333,ジー・モード
2334,イオレ
2335,キューブシステム
2336,富士テクノ
2337,いちご
2338,ファステップス
2339,#ERROR!
2340,極楽湯ホールディングス
2341,アルバイトタイムス
2342,トランスジェニック
2343,#ERROR!
2344,平安レイサービス
2345,アイスタディ
2346,#ERROR!
2347,#ERROR!
2348,#ERROR!
2349,エヌアイデイ
2350,オックスホールディングス
2351,ＡＳＪ
2352,エイジア
2353,日本駐車場開発
2354,安川情報システム
2355,ＳＢＩネットシステムズ
2356,ＴＣＢホールディングス
2357,#ERROR!
2358,#ERROR!
2359,コア
2360,#ERROR!
2361,#ERROR!
2362,夢真ホールディングス
2363,#ERROR!
2364,#ERROR!
2365,#ERROR!
2366,#ERROR!
2367,#ERROR!
2368,#ERROR!
2369,メディビックグループ
2370,メディネット
2371,カカクコム
2372,アイロムグループ
2373,ケア２１
2374,セントケア・ホールディング
2375,スリープログループ
2376,サイネックス
2377,サイバーファーム
2378,ルネサンス
2379,ディップ
2380,#ERROR!
2381,#ERROR!
2382,#ERROR!
2383,#ERROR!
2384,ＳＢＳホールディングス
2385,総医研ホールディングス
2386,#ERROR!
2387,#ERROR!
2388,ウェッジホールディングス
2389,オプトホールディング
2390,#ERROR!
2391,プラネット
2392,セキュアード・キャピタル・ジャパン
2393,日本ケアサプライ
2394,ジェイ・エー・エー
2395,新日本科学
2396,パソナテック
2397,ＤＮＡチップ研究所
2398,ツクイ
2399,綜合臨床ホールディングス
2400,ＳＯＭＰＯケアメッセージ
2401,#ERROR!
2402,アマナ
2403,リンク・ワン
2404,鉄人化計画
2405,ＦＵＪＩＫＯＨ
2406,アルテ　サロン　ホールディングス
2407,#ERROR!
2408,ＫＧ情報
2409,ネクストジャパンホールディングス
2410,キャリアデザインセンター
2411,ゲンダイエージェンシー
2412,ベネフィット・ワン
2413,エムスリー
2414,塩見ホールディングス
2415,ヒューマンホールディングス
2416,ローソンエンターメディア
2417,ツヴァイ
2418,ツカダ・グローバルホールディング
2419,日本ＥＲＩ
2420,ＣＨＩＮＴＡＩ
2421,#ERROR!
2422,#ERROR!
2423,ジェイエムテクノロジー
2424,ブラス
2425,ケアサービス
2426,ピーアンドピー
2427,アウトソーシング
2428,ウェルネット
2429,ワールドホールディングス
2430,デジタルスケープ
2431,日本テクシード
2432,ディー・エヌ・エー
